快捷键    中文名称
Ctrl+R    替换文本
Ctrl+1    单行注释，单次注释，双次取消注释
Ctrl+4    块注释，单次注释，双次取消注释
F5    运行程序
Ctrl+P    文件切换
Ctrl+L    清除shell
Ctrl+I    查看某个函数的帮助文档
Ctrl+Shift+V    调出变量窗口
Ctrl+up    回到文档开头
Ctrl+down    回到文档末尾
全部快捷键
context    name    shortcut    中文名称
editor    end of line    Meta + E    每行的最后
editor    go to definition    Ctrl +G    去定义
editor    go to line    Ctrl +L    去行
editor    go to next file    Ctrl +Shift+Tab    去下一个文件
editor    go to previous file    Ctrl +Tab    去之前的文件
editor    inspect current object    Ctrl +I    检查当前对象
editor    kell next word    Meta+D    清楚下一个单词
editor    kill previous word    Meta+B    清除上一个单词
editor    kill to line end    Meta+K    清楚行的终点
editor    kill to line start    Meta+U    清除行的开始
editor    last edit location    Ctrl +Alt +Shift+L    最后编辑位置
editor    move line down    Alt +Down    线向下移动
editor    move line up    Alt +Up    线向上移动
editor    new file    Ctrl +N    新建文件
editor    next char    Meta+F    下一个单词
editor    next cursor position    Ctrl +Alt +Right    下一个光标位置
editor    next line    Meta+N    下一行
editor    next word    Meta+Right    下一个词
editor    open file    Ctrl +O    打开的文件
editor    open last closed    Ctrl +Shift+T    打开上次关闭
editor    paste    Ctrl +V    粘贴
editor    previous char    Meta+B    之前的字符
editor    previous cursor position    Ctrl +Alt +L    前一光标位置
editor    previous line    Meta+P    前一行
editor    previous word    Meta+L    以前的单词
editor    redo    Ctrl +Shift+Z    重做
editor    rotate kill ring    Meta+Shift+Y    旋转杀死环
editor    run cell and advance    Shift+R    细胞和推进
editor    run cell    Ctrl +R    运行单元
editor    run selection    F9    选择运行
editor    save all    Ctrl +Alt +S    保存所有
editor    save as    Ctrl +Shift+S    另存为
editor    save file    Ctrl +S    保存文件
editor    select all    Ctrl +A    选择所有
editor    show/hide outline    Ctrl +Alt +O    显示/隐藏轮廓
editor    start of document    Ctrl +U    开始的文档
editor    start of line    Meta+A    开始行
editor    toggle comment    Ctrl +1    切换的评论
editor    transform to lowercase    Ctrl +U    转换为小写字母
editor    transform to uppercaer    Ctrl +Shift+U    变换大写字母
editor    unblockcomment    Ctrl +F5    unblockcomment
editor    undo    Ctrl +Z    撤销
editor    yank    Meta+Y    猛拉
editor    zoom in 1    Ctrl ++    放大1
editor    zoom in 2    Ctrl +=    放大2
editor    zoom out    Ctrl +-    缩小
editor    zoom reset    Ctrl +0    变焦重置
ipython_console    new tab    Ctrl +T    新标签页
ipython_console    reset namespace    Ctrl +Alt+R    重置名称空间
ipython_console    reset kernel    Ctrl +.    重置内核
profiler    run profiler    F10    运行分析器
pylint    run analysis    F8    运行分析
variable_explorer    copy    Ctrl +C    复制
